
# Phrasal verbs
ask after;hỏi thăm
back down;ngưng đòi hỏi
back out;nuốt lời
bank on;phụ thuộc vào
break down;(máy móc) ngưng hoạt động
break out;thoát khỏi (nhà tù)
break out;(chiến tranh, hỏa hoạn) bùng phát
bring forward;đẩy lên sớm
bring in;thực thi
bring on;gây ra (bệnh tật)
bring out;gây nên, dẫn đến
bring up;nuôi nấng
bring up;bắt đầu thảo luận về
call for;kêu gọi, cần
call for;yêu cầu
call off;hủy
carry on;tiếp tục
carry out;thực hiện
catch on;trở nên phổ biến, được yêu thích
catch on;hiểu biết
catch up with;bắt kịp
chase after;đuổi theo
check in;làm thủ tục đăng ký
check out;làm thủ tục đăng ký ra
check out;điều tra
clear up;(thời tiết) trở nên quang đãng và sáng sủa hơn
close down;đóng cửa, ngừng hoạt động
come (a)round;tái diễn
come (a)round (to);bị thuyết phục nên thay đổi ý kiến
come across;tình cờ gặp
come by;có được (thứ gì rất khó có)
come down with;bắt đầu bị (bệnh)
come forward;đề nghị giúp đỡ/đưa thông tin
come into;thừa hưởng
come off;thành công
come on;phát triển, có tiến triển
come on;bắt đầu phát sóng
come out;được xuất bản
come round/to;tỉnh lại
come up with;nghĩ ra (ý tưởng/kế hoạch)
count on;dựa vào, tin tưởng vào
cross out;gạch bỏ
cut down (on);giảm, bớt làm việc gì
cut down (on);giảm bớt lượng
cut off;làm cô lập
cut off;ngừng cung cấp
cut off;ngắt kết nối
dawn on;chợt nhận ra
deal with;xử lý
die down;giảm bớt, mất dần
do away with;loại bỏ
do up;trang trí lại
do without;sống mà không cần
draw up;tạo ra (kế hoạch)
dress up;ăn mặc điệu đà
drop in (on);ghé thăm, tạt qua
drop off;thả ai đó xuống (xe)
drop off;ngủ mất
drop out (of);rời khỏi (trường)
drown out;nhấn chìm (âm thanh)
face up to;đối mặt với
fall for;yêu
fall for;tin vào (lời nối dối, trò đùa)
fall out (with);cãi nhau
feel up to;cảm thấy đủ sức để làm
fill in;điền (thông tin)
find out;tìm ra, khám phá ra
flick through;lật trang (báo, tạp chí) nhanh
get (sb) down;khiến ai đó buồn, thất vọng
get along (with);có mối quan hệ tốt với ai
get at;cố gắng biểu lộ
get away with;thoát tội
get back;trở về từ
get by;nỗ lực và thành công sống sót
get on (with);hòa hợp với
get on for;gần tới
get on with;tiếp tục làm gì
get over;vượt qua (bệnh tật)
get round to;bắt đầu (sau khi đã chuẩn bị lâu)
get through;dùng hết, hoàn thành
get up to;làm việc gì đó không nên
give away;tặng không
give away;tiết lộ điều đã che giấu
give in;buông xuôi
give off;gây ra (nhiệt độ, mùi)
give up;từ bỏ, ngừng
go away;đi nghỉ
go down (as);được nhớ tới
go in for;tham gia, tiến vào
go in for;thích
go into;nói/xử lý/giải thích cụ thể
go off;ôi thiu
go off;nổ (súng)
go off;ngừng yêu thích
go on;tiếp diễn
go on;tiếp tục bằng việc gì
go over;nhắc lại, nghĩ lại để hiểu
go/come round;đến thăm nhà
grow on;bắt đàu thích
grow out of;phát triển từ


# Unit 28: Work and business
employer (n);chủ, người sử dụng lao động
employee (n);người lao động (được thuê)
staff (n);nhân sự
job (n);công việc
work (n);việc làm
career (n);sự nghiệp
earn (v);kiếm (tiền)
win (v);thắng, trúng thưởng
gain (v);đạt được (thành tích)
raise (n);tăng lên (ngoại động từ)
rise (n);tăng lên (nội động từ)
wage(s) (n);tiền lương, tiền công
salary (n);tiền lương (hàng tháng, hàng năm)
pay (n);tiền lương
commute (v);đi lại (từ nhà đến chỗ làm)
deliver (v);giao (hàng)
retire (v);nghỉ hưu
resign (v);từ chức
fire (v);đuổi việc (= biện pháp trừng phạt)
sack (v);sa thải
make redundant (phr);sa thải, đuổi việc
overtime (n);thời gian làm thêm
promotion (n);sự thăng chức
pension (n);tiền lương hưu
company (n);công ty
firm (n);công ty, doanh nghiệp
business (n);doanh nghiệp
union (n);hội liên hiệp
charity (n);tổ chức từ thiện
back out;nuốt lời
bring out;gây nên, dẫn đến
close down;đóng cửa, ngừng hoạt động
see through (to);tiếp tục cho tới cuối cùng
see to;giải quyết, xử lý
set to;làm việc nhiệt tình
set out;khởi đầu
set up;thành lập
slow down;giảm tốc độ
speed up;tăng tốc
stand in for;làm thay việc cho ai
take on;tuyển dụng/ tiếp nhận
take over;chiếm quyền kiểm soát
turn down;từ chối


# Unit 26: Fashion and design
put on (phr v);mặc vào
wear (v);mặc
costume (n);trang phục
suit (n);bộ đồ âu phục
dye (v);nhuộm
paint (v);sơn
fit (v);vừa (về kich thước)
suit (v);phù hợp (về kiểu dáng)
match (v);thích hợp (về màu sắc, kiểu dáng)
cloth (n);vải
clothing (n);quần áo
blouse (n);áo sơ-mi nữ, áo cánh
top (n);áo (đồ mặc ở thân trên nói chung)
design (v);thiết kế
manufacture (v);sản xuất
current (adj);(thuộc) hiện tại
new (adj);mới
modern (adj);(thuộc) hiện đại
look (n);vẻ ngoài, bề ngoài
appearance (n);ngoại hình
supply (v);cung cấp
produce (v);sản xuất
glimpse (v);nhìn lướt qua
glance (v);liếc
average (adj);trung bình
everyday (adj);hàng ngày, thông dụng
catch on;trở nên phổ biến, được yêu thích
do away with;loại bỏ
draw up;tạo ra (kế hoạch)
dress up;ăn mặc điệu đà
go over;nhắc lại, nghĩ lại để hiểu
grow out of;phát triển từ/ trở nên quá khổ so với
hand down;truyền lại (cho con cháu)
line up;xếp hàng
pop in(to);tạt qua, ghé qua
show (a)round;đưa ai đi tham quan
take off;cởi, tháo
tear up;xé vụn
try on;thử (quần áo)
wear out;trở nên cũ/hỏng


# Unit 24: Entertainment
enjoy (v);thích thú
entertain (v);giải trí
play (v);chơi
act (v);diễn, đóng vai
star (v);đóng vai chính
audition (n);buổi thử vai
rehearsal (n);tổng duyệt, buổi tổng duyệt
rehearse (v);diễn tập
practise (v);luyện tập
scene (n);cảnh (kịch, phim, truyện)
scenery (n);bối cảnh
stage (n);sân khấu
band (n);nhóm nhạc
orchestra (n);dàn hợp xướng
group (n);nhóm nhạc pop
review (n);bài nhận xét
criticism (n);sự phê bình
ticket (n);vé
fee (n);lệ phí
novel (n);tiểu thuyết
fiction (n);truyện hư cấu
comic (n);truyện tranh
cartoon (n);phim hoạt hình
comedian (n);diễn viên hài
watch (v);xem
see (v);nhìn, xem
look (v);nhìn vào
listen (v);lắng nghe
hear (v);nghe thấy
come (a)round;tái diễn
count on;dựa vào, tin tưởng vào
drop off;ngủ mất
drown out;nhấn chìm (âm thanh)
fall for;tin vào (lời nói dối, trò đùa)
get along (with);có mối quan hệ tốt với ai
go down (as);được nhớ tới
grow on;bắt đầu thích
let down;khiến (ai) thất vọng
name after;đặt tên theo
put on;trình diễn, tổ chức
show off;khoe khoang
take after;giống
take off;phất lên


# Unit 22: Money and shopping
economic (adj);(thuộc) kinh tế
economical (adj);(có tính) tiết kiệm, rẻ
receipt (n);biên lai (giao dịch)
bill (n);hóa đơn (ví dụ: tại nhà hàng)
make (n);kiểu chế tạo, sản phẩm của nhãn hiệu
brand (n);thương hiệu
bargain (n);món hời
sale (n);đợt/sự kiện giảm giá
discount (n);khoản tiền giảm giá
offer (n);mức giá tốt
price (n);giá cả
cost (n);chi phí
change (n);tiền lẻ (thường là xu)
cash (n);tiền mặt
wealth (n);sự giàu có
fortune (n);gia tài
till (n);máy ngăn kéo để tiền
checkout (n);quầy thanh toán
products (n);sản phẩm
goods (n);hàng hóa
refund (v/n);(sự) hoàn tiền
change (v);đổi
fake (adj);giả, nhái
plastic (adj);(thuộc) nhựa
bank on;phụ thuộc vào
come across;tình cờ gặp
come by;có được (thứ gì đó rất khó)
come into;thừa hưởng
do without;sống mà không cần
get by;nỗ lực và thành công sống sót
get through;dùng hết, hoàn thành
give away;tặng không/ tiết lộ điều đã che giấu
